sample	Helicobacter	Comamonas	Caenimonas	Dorea	Sutterella	Anaerovibrio	Odoribacter	Succinivibrio	Sphingomonas	Aeromonas	Lactobacillus	Blautia	Enhydrobacter	Oscillibacter	Exiguobacterium	Desulfovibrio	Parabacteroides	Fusobacterium	Dialister	Parasutterella	Rubrobacter	Actinomyces	Streptococcus	Eubacterium	Diaphorobacter	Coprococcus	Acidovorax	Bacteroides	Butyricicoccus	Staphylococcus	Rheinheimera	Asaccharobacter	Hydrogenophaga	Serratia	Zoogloea	Vibrio	Acinetobacter	Curtobacterium	Clavibacter	Novosphingobium	Veillonella	Subdoligranulum	Paraprevotella	Lactococcus	Phascolarctobacterium	Clostridium	Megamonas	Coprobacillus	Chryseobacterium	Barnesiella	GpI	Aquabacterium	Escherichia/Shigella	Haemophilus	Pseudomonas	Burkholderia	Collinsella	Microbacterium	Turicibacter	Rikenella	Pantoea	Alistipes	Delftia	Azonexus	Streptophyta	Roseburia	Stenotrophomonas	Weeksella	Arthrobacter	Bacillus	Asticcacaulis	Prevotella	Faecalibacterium	Pseudoalteromonas	Slackia	Acidaminococcus	Gp1	Sphingobium	Succinispira	Klebsiella	Brachyspira	Ralstonia	Uruburuella	Ruminococcus	Eggerthella	Citrobacter	Rhizobium	Afipia	Enterococcus	Marinomonas	Anaerostipes	Propionibacterium
Tope_D5-646-550_2_1_972.fas	3	0	0	72	0	0	0	0	185	3	1	311	0	45	0	0	0	0	1	26	0	4	42	20	2	54	5	1190	0	0	0	5	0	0	0	1	0	0	2	0	1	0	0	6	0	0	0	5	0	0	0	0	1	2	3	0	26	1	1	0	0	0	0	0	16	565	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	21
Tope_D5-609-106_2_1_684.fas	0	4	0	123	0	0	0	0	236	21	2	322	0	98	0	0	60	0	0	5	0	0	55	0	19	62	16	791	0	0	7	3	0	1	0	25	6	0	7	0	3	311	1	2	46	0	0	51	1	3	0	0	11	3	22	29	51	0	1	0	8	39	0	6	16	736	0	168	0	0	0	6	247	64	0	0	0	0	0	15	391	0	4	271	15	4	0	1	0	41	0	1
Tope_D5-636-542_2_1_450.fas	0	0	0	44	27	0	1	0	13	1	0	74	0	13	0	0	8	0	0	0	0	9	35	0	0	9	0	137	0	0	0	1	0	0	0	0	0	0	0	0	10	4	0	0	18	301	0	426	0	0	0	0	453	7	0	0	212	0	0	0	0	4	1	0	0	480	0	64	0	0	0	0	36	9	0	0	0	0	0	664	1	0	0	10	7	0	0	0	0	6	0	0
Tope_D5-647-741_1_1_943.fas	1	2	0	905	175	0	2	1	92	0	46	541	3	31	4	0	72	7	2	5	0	1	6	8	10	179	50	1010	15	1	0	0	0	1	3	0	13	0	4	0	5	38	1	24	95	2	0	505	3	5	0	35	801	0	53	4	215	0	3	0	30	7	13	7	173	809	8	154	1	28	0	9	94	1	0	0	0	2	1	5	0	0	1	52	30	0	4	13	0	4	0	5
Tope_D5-610-781_1_1_180.fas	37	6	0	270	27	2	0	38	519	0	107	433	12	66	0	0	153	17	38	8	47	0	58	14	56	130	282	414	8	9	0	0	37	1	15	0	61	0	21	29	0	180	15	98	5	6	1	128	14	0	7	55	90	0	166	22	55	39	14	3	23	49	68	12	232	645	16	540	11	121	0	42	287	7	0	0	8	2	0	14	0	0	0	96	13	0	20	7	0	1	0	20
Tope_D5-621-636_1_1_645.fas	2	10	0	250	4	2	10	44	278	3	26	831	2	114	1	41	188	8	0	65	14	0	20	48	9	244	120	900	12	0	4	14	0	1	4	6	47	0	8	4	2	21	20	48	71	17	14	69	3	50	0	44	11	2	75	18	74	3	19	0	7	111	19	0	98	627	14	250	1	44	1	65	432	11	10	0	1	0	1	9	0	3	2	140	0	2	16	5	0	22	0	5
Tope_D5-623-246_2_1_1160.fas	0	3	0	154	41	0	21	0	356	34	2	581	0	125	2	57	37	0	11	5	16	0	96	0	0	137	0	1396	17	7	16	7	0	2	0	24	0	0	7	0	0	110	127	11	47	21	0	68	0	14	0	0	30	20	9	58	0	0	41	124	5	69	1	0	27	862	0	1	0	0	0	1	588	62	0	0	0	0	0	16	0	4	19	147	0	2	0	0	0	89	0	6
Tope_D5-602-667_2_1_191.fas	0	0	0	202	0	0	3	0	26	1	0	265	0	22	0	0	12	0	21	0	0	0	18	1	0	27	0	2779	3	0	0	3	0	0	0	1	2	0	0	1	44	110	0	0	33	7	0	176	0	18	0	0	7	0	5	0	189	0	0	0	0	0	0	0	0	602	1	129	0	0	0	1	593	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0
Tope_D5-625-341_2_1_319.fas	0	0	0	310	0	0	7	1	23	0	1	833	1	163	0	0	44	0	0	1	0	1	29	5	0	395	0	1519	29	0	0	14	0	0	0	7	0	0	0	0	5	0	0	0	0	3	0	55	0	0	0	0	2	8	0	0	133	0	2	0	1	33	1	0	1	565	0	1033	1	0	0	2	816	0	0	0	0	0	49	1	0	0	0	342	12	0	0	0	0	7	0	0
Tope_D5-649-287_1_1_547.fas	0	1	0	614	313	0	39	3	11	1	6	951	0	96	0	0	551	0	0	17	0	2	10	540	1	726	10	4663	165	0	0	0	0	0	0	1	6	0	1	0	1	179	289	8	226	1	0	366	0	58	0	7	1	0	4	0	386	0	3	1	0	153	1	0	11	1035	1	85	1	3	0	15	1839	1	25	0	0	1	0	0	0	2	0	144	94	1	0	0	0	2	0	1
