sampleID	Actinomycetales	Aeromonadales	Alteromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Lactobacillales	Methanobacteriales	Mycoplasmatales	Neisseriales	Pasteurellales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodospirillales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Thermoplasmatales	Verrucomicrobiales	Xanthomonadales
sample0069	1.4616634529992365	0.0	0.0	0.0	0.0	3.069585613667571	0.5223463241086226	0.752701221015747	1.5828356479355519	1.8913435633587552	0.0	4.3333074443867465	2.9815112245975053	0.0	0.0	0.3353826051221155	0.0	3.019393956938941	0.0	0.0	0.0	3.9319920066828224	0.0	0.3353826051221155	0.0	0.0	0.5223463241086226	0.0	0.0	0.0	1.7974414168762083	0.0	0.0	0.0	0.3353826051221155	0.0	0.0	0.0
sample0071	0.750652015632886	0.0	0.0	1.0721645135886855	0.0	3.393878720052399	0.24845808637740596	0.24845808637740596	2.4964462537819148	1.5891324283008448	0.0	4.282708676939234	2.510124447123242	0.0	0.0	1.3689807122818733	0.0	3.6685187283803393	0.0	0.0	0.0	3.8038632615929386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.520605494304035	1.9750144090743849	0.0	0.0	0.0	0.24845808637740596	0.0	0.0	0.0
sample0072	1.3152472082737068	0.0	0.0	1.087691415493028	0.0	3.419275573708193	0.9289916992518229	0.0	2.0988117208991097	2.214693469297848	0.0	4.331892394575069	2.1943799555567622	0.0	0.0	1.053117196348326	0.0	3.5251356271719687	0.0	0.0	0.0	3.738573714402384	0.0	0.0	0.0	0.287007477742767	0.287007477742767	0.0	0.0	0.45832211346890556	1.8170058872594463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0073	0.9549691555615977	0.0	0.0	1.1146979220914655	0.0	3.5021046718902595	0.8853174436863914	0.0	2.2487860441108323	2.141738330116735	0.0	4.135960588366037	2.5709688069290357	0.0	0.5648660494832601	1.421292215935013	0.5648660494832601	3.2727359688260393	0.0	0.0	0.0	4.14486196996154	0.0	0.6996240405325926	0.0	0.36844405449108175	0.36844405449108175	0.0	0.0	0.9549691555615977	1.627480566968397	0.0	0.0	0.36844405449108175	0.0	0.0	0.0	0.0
sample0074	0.5251211078581789	0.0	0.0	1.73149402976395	0.0	3.613202316976487	0.7559645412207456	0.0	2.078111292619324	1.740864112988399	0.0	4.2656270250890085	2.1451489264830403	0.0	0.0	1.2967684629136789	0.0	2.735587698093104	0.0	0.0	0.0	3.998329937637722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9058911358362105	1.6705842287207007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0075	0.0	0.0	0.0	0.6976237759950046	0.0	3.76769417445394	0.600798024626059	0.0	2.4681442951092487	1.6611110591660931	0.30018909210581257	4.254697608021861	2.354349849073142	0.0	0.0	1.6885470627472188	0.0	3.511667877564521	0.0	0.0	0.0	3.7569259982389127	0.0	0.6976237759950046	0.0	0.0	0.0	0.0	0.0	0.9527464422504416	1.7836740465623064	0.0	0.0	0.30018909210581257	0.0	0.0	0.0	0.0
sample0076	0.9647169228596623	0.0	0.0	1.1985324179097399	0.5398173873223618	3.70424054716844	1.3165424563086603	0.0	2.0361420651450777	2.5028100712962655	0.0	4.319419881066466	2.026174388905112	0.0	0.42225168812683794	1.097173426713776	0.2605412890847873	2.631874346118523	0.0	0.0	0.0	3.8110083152434	0.0	1.124815626147573	0.0	0.0	0.2605412890847873	0.0	0.0	1.0676515244162899	1.6799028721978022	0.0	0.0	0.0	0.2605412890847873	0.0	0.0	0.0
sample0077	0.4668541597038438	0.0	0.0	0.5904922733884013	0.0	2.7112636785946806	0.0	0.0	1.6183419879364573	0.4668541597038438	0.0	4.146474580742285	2.470279846588387	0.0	0.0	0.5904922733884013	0.29335251920260197	3.7957490867978683	0.0	0.0	0.0	4.091582342144005	0.0	0.29335251920260197	0.0	0.0	0.0	0.0	0.29335251920260197	0.0	1.2406547665037553	0.0	0.0	0.4668541597038438	0.0	0.0	0.0	0.0
sample0078	1.4790547265907423	0.0	0.0	0.0	0.5225366357955504	3.3992716101531006	0.5225366357955504	0.0	1.878422255737973	1.1022121418255728	0.0	4.062437757621951	2.309143754524304	0.0	0.0	0.5225366357955504	0.3355289647038416	2.8199323422693485	0.0	0.0	0.0	4.263072332036789	0.0	0.3355289647038416	0.0	0.0	0.0	0.0	0.0	0.0	2.078696511368292	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0079	0.2431796581934862	0.0	0.0	0.2431796581934862	0.0	3.3321116681306253	0.7961575285511527	2.4712539871165853	2.703621074593063	1.8546317736335394	0.0	4.36365080844406	2.452115619036065	0.0	0.0	1.502063679108473	0.0	3.6390690543045636	0.0	0.0	0.0	3.4244356435298755	0.5121120918531976	1.2958807297841728	0.0	0.0	0.3981382490558253	0.0	0.0	0.0	1.0609994745917661	0.0	0.0	0.0	0.0	0.2431796581934862	0.0	0.0
sample0080	0.6059504497962843	0.0	0.0	0.7824718385352962	0.0	3.0915351819300514	0.849541444155935	0.9588496142260137	2.503473779671893	1.918930629122022	0.0	4.101289334030103	2.4880362180222755	0.0	0.7824718385352962	1.4821291655013618	0.0	3.187305400503297	0.0	0.0	0.0	4.233322874724235	1.0461039309647102	2.2010464278302004	0.0	0.0	0.0	0.0	0.0	0.3036275031311972	1.5961121378681327	0.0	0.0	0.6059504497962843	0.0	0.0	0.0	0.0
sample0081	1.0820310485964593	0.0	0.0	0.734927839538968	0.39396111511127896	3.5054339332065982	0.5072890814530518	0.0	1.8655943511174833	1.7031727553608107	0.0	3.722372336946055	2.2035741301790766	0.0	0.240199706474113	0.734927839538968	0.0	2.739605008362935	0.0	0.0	0.0	4.381844787621151	0.0	0.0	0.0	0.0	0.240199706474113	0.0	0.0	0.5072890814530518	1.7893353668684029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0082	1.367226816526814	0.0	0.0	0.0	0.0	3.64101742766868	0.9258803692433867	0.0	1.7988246533275631	1.5046421477855931	0.0	4.2684906606645665	2.583989286072513	0.0	0.0	0.6735288934152085	1.4696098996539633	2.8591670777301417	0.0	0.0	0.0	3.9635826571142956	0.0	0.0	0.0	0.34995790217385747	0.0	0.0	0.0	0.5412057252142803	1.9839185094664404	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0083	1.1915816317650534	0.0	0.0	0.639134063768741	0.0	3.328175204012487	0.7384066866804673	0.0	1.7290399309437914	2.0024903827579483	0.0	4.257252902010226	2.3180255538152794	0.0	0.0	0.9460466584995804	0.0	3.6549155456066633	0.0	0.0	0.0	3.9199770057686516	0.0	0.7384066866804673	0.0	0.0	0.0	0.0	0.0	0.0	1.6811551549450605	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0084	1.5871561297233943	0.0	0.0	0.3888290868381397	0.3888290868381397	3.810881525685893	1.4970692092986178	0.0	1.8742096792632406	1.3832693543375363	0.0	4.134558358570939	2.168079080085032	0.0	0.5906411577397569	0.7278907369303247	0.7278907369303247	3.1220726372771046	0.0	0.0	0.0	4.0641972397039465	0.0	1.2286337636964317	0.0	0.3888290868381397	0.0	0.0	0.0	1.3832693543375363	2.010159863637806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0085	1.3284259419743494	0.0	0.0	1.2250676801183524	0.327952039992749	3.741304415285576	0.9491619817253247	0.0	1.8222886354061558	2.533552214397337	0.0	4.1419613567417946	2.2798673471620883	0.0	0.0	0.9491619817253247	0.8221366979438908	2.9957105740594017	0.0	0.0	0.0	4.091205570369807	0.327952039992749	0.5126587977811814	0.0	0.0	0.0	0.0	0.0	0.327952039992749	2.0932168909570508	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0086	0.42499979257686993	0.0	0.0	0.8152951633454169	0.0	3.7631148048439385	0.9937532838077057	0.0	2.6600544180757284	1.7245708606584846	0.0	4.100325634293593	2.1407797845291063	0.0	0.0	1.1377406170248405	0.19133211114738272	3.779597687800604	0.0	0.0	0.0	3.921543118469977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.776858849800591	1.645214097239849	0.0	0.0	0.0	0.3236952860881393	0.0	0.3236952860881393	0.0
sample0087	1.3283060517028107	0.0	0.0	0.0	0.0	3.5711715238308233	1.3678408717642494	0.0	2.3347386942372297	1.65946042222175	0.0	4.210481308949246	2.660551346289626	0.0	0.0	0.0	0.0	3.7254702298345	0.0	0.0	0.0	3.8683403703464987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4813909251171772	1.7771333720100855	0.0	0.0	0.8505799458088754	0.0	0.0	0.0	0.0
sample0088	0.986707575409185	0.0	0.0	0.0	0.0	2.7969709498104307	0.38912374931165367	0.0	1.297692581065541	1.9371963647384283	0.0	4.340494526348226	2.6612442811746497	0.0	0.2367590358109707	0.6650556708484479	0.2367590358109707	3.6750718673939478	0.0	0.0	0.0	3.7509880698437708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2367590358109707	1.100304688807545	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0089	0.0	0.0	0.0	1.7898503914566914	0.0	3.6383764094873947	1.0242583045616283	0.0	2.2388996099513108	2.2388996099513108	0.0	4.301790019331709	2.493650574560391	0.0	0.0	1.4408418773377587	0.0	3.1623035197414002	0.0	0.0	0.0	3.827928306611114	0.0	1.9456359303950606	0.0	0.0	0.0	0.0	0.0	0.7205988930040523	1.889837658733067	0.0	0.0	0.31467374753410965	0.0	0.0	0.0	0.0
sample0090	0.6248327715588611	0.0	0.0	0.4162527615766983	0.0	3.7280047066884734	0.8710287426951956	0.0	2.396870565591732	2.052051525250654	0.0	4.243469077938666	2.676933897122494	0.0	0.0	1.2114642208130966	0.0	3.733326974569237	0.0	0.0	0.0	3.628889041167829	0.0	1.4762238596674	0.0	0.25619690394909134	0.0	0.0	0.0	0.8710287426951956	1.781639205665098	0.0	0.0	0.25619690394909134	0.0	0.0	0.0	0.0
sample0091	1.4583952408297094	0.0	0.0	0.8310954772441171	0.0	3.7142591986489752	1.5379682273943862	0.0	2.404957214602614	1.9132344241701915	0.0	4.1031600200717175	1.9132344241701915	0.0	0.5199804291722164	0.5199804291722164	0.0	2.8933026846889973	0.0	0.0	0.0	4.138378934433013	0.0	2.700155375201687	0.0	0.3335643468183769	0.0	0.0	0.3335643468183769	1.3822263903345968	1.9008012495956799	0.0	0.0	0.3335643468183769	0.0	0.0	0.0	0.0
sample0092	0.809828352293554	0.0	0.0	0.0	0.2808055853669217	3.324631088547506	0.8670541779223258	0.2808055853669217	2.0827415832135014	1.976014358905611	0.0	4.388365490558351	2.2488206811698386	0.0	0.0	1.3221772452985425	0.0	3.1160501860096113	0.0	0.0	0.0	3.710926656693486	0.9628893454634027	0.0	0.0	0.2808055853669217	0.0	0.0	0.0	0.4499405240195064	1.60300285364758	0.0	0.0	0.0	0.0	0.2808055853669217	0.0	0.0
sample0093	0.8360201105401057	0.0	0.0	1.9485498615733237	0.47007710479087067	3.6236686488903436	0.893820901483262	0.47007710479087067	1.7748963292538924	1.1041591973435474	0.0	4.270037674301127	1.6971711782605612	0.0	0.5941272345277614	1.3877598652258536	1.1661971435042517	2.4126768622655623	0.0	0.0	0.0	4.003575898198262	0.0	0.0	0.2957576234919025	0.0	0.47007710479087067	0.0	0.0	0.47007710479087067	1.7138689286739333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0094	1.0356056140852528	0.0	0.4007211210565596	0.7997686070965025	0.24502637316875742	3.675171701536615	1.1875933892583608	0.0	2.105820285430014	1.849657651481979	0.0	4.101656572620108	2.0736989525311826	0.0	0.5150907604798148	1.1875933892583608	2.4482628449040553	2.1568812853219286	0.0	0.0	0.0	4.183558840734547	0.0	0.0	0.0	0.4007211210565596	0.0	0.0	0.0	0.7997686070965025	1.7623204624165272	0.0	0.0	0.7997686070965025	0.0	0.24502637316875742	0.24502637316875742	0.0
sample0095	0.7778771093295749	0.0	0.0	0.0	0.6365690504512667	2.6099770195924337	0.0	0.0	1.6928181418308914	1.6928181418308914	0.0	4.068944366601563	3.5755514130350528	0.0	0.0	0.425763142706584	0.0	3.8813979885533723	0.0	0.0	0.0	3.9916055932107066	0.0	0.0	0.0	0.0	0.0	0.0	0.425763142706584	0.0	1.850933994075702	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0096	1.4476558515791411	0.0	0.0	0.0	0.5387577816850129	3.000515731128549	0.0	0.0	1.2601251799281425	0.8539209152627819	0.0	4.2024915166368855	2.4235366363856654	0.0	0.0	0.0	0.0	3.7292240132473555	0.0	0.0	0.0	4.034621204109547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.592073516038005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
